ts,fundingRate,fundingRateLong,fundingRateShort,oraclePriceTwap,markPriceTwap,periodRevenue
1744588800,0.783842166,0.783842166,0.783842166,83502.141619,83504.253403,-161.901654
1744592400,1.516078083,1.516078083,1.516078083,84101.106892,84120.672545,-360.859255
1744596000,1.288227083,1.288227083,1.288227083,84262.672506,84276.737422,330.892569
1744599600,1.909665125,1.909665125,1.909665125,84666.565832,84695.464482,-1666.883327
1744603201,1.369774958,1.369774958,1.369774958,84660.121516,84676.064091,623.717742
1744606807,1.176551833,1.176551833,1.176551833,84739.933560,84751.222818,-22.500690
1744610400,1.130092291,1.130092291,1.130092291,84627.560374,84637.757077,334.869286
1744614001,1.041041416,1.041041416,1.041041416,84532.039598,84540.118185,128.946337
1744617600,0.821500416,0.821500416,0.821500416,84508.825252,84511.639497,90.779058
1744621200,0.686099416,0.686099416,0.686099416,84601.012049,84600.558233,72.130299
1744624806,0.583168625,0.583168625,0.583168625,84544.387982,84541.475152,-23.687960
1744628400,0.554003458,0.554003458,0.554003458,84582.479118,84578.858706,69.611443
1744632000,0.563909708,0.563909708,0.563909708,84732.616512,84729.203822,105.589218
1744635602,0.707557000,0.707557000,0.707557000,84911.078695,84911.077848,113.920415
1744639203,0.914013333,0.914013333,0.914013333,84790.653370,84795.631560,1379.881233
1744642804,1.110815833,1.110815833,1.110815833,85019.751825,85029.407455,-458.615373
1744646406,1.044403583,1.044403583,1.044403583,84623.264681,84631.405715,1043.284006
1744650000,0.887627166,0.887627166,0.887627166,84458.020073,84462.431521,99.433362
1744653602,0.860550333,0.860550333,0.860550333,84532.314924,84536.061670,-1.028306
1744657202,0.768423291,0.768423291,0.768423291,84770.499115,84771.987175,121.079359
1744660803,0.687184000,0.687184000,0.687184000,84914.633447,84914.142937,60.111061
1744664400,0.602256500,0.602256500,0.602256500,84813.728244,84811.219655,98.024020
1744668003,0.626263916,0.626263916,0.626263916,84742.347263,84740.429128,28.026820
1744671604,0.618605208,0.618605208,0.618605208,84639.437558,84637.356196,-12.360592
1744675208,0.540032708,0.540032708,0.540032708,84607.622850,84603.662111,36.913256
1744678803,0.237221375,0.237221375,0.237221375,84655.205298,84643.967570,492.099845
1744682405,0.048057833,0.048057833,0.048057833,84810.702712,84794.893960,215.737685
1744686001,0.403251416,0.403251416,0.403251416,84886.007409,84878.708242,89.232779
1744689604,0.579989500,0.579989500,0.579989500,85118.550948,85115.446986,81.060864
1744693205,0.545005083,0.545005083,0.545005083,85241.573188,85237.604996,480.156959
1744696806,0.415611666,0.415611666,0.415611666,85501.625436,85494.499791,374.887859
1744700407,0.533531208,0.533531208,0.533531208,85486.534202,85482.241645,45.824956
1744704009,0.591291250,0.591291250,0.591291250,85588.118881,85585.192248,58.243223
1744707601,0.596712458,0.596712458,0.596712458,85745.295950,85742.467990,56.491988
1744711207,0.601314666,0.601314666,0.601314666,85809.703202,85806.972814,122.181327
1744714805,0.458167708,0.458167708,0.458167708,85725.385194,85719.236142,-130.267328
1744718409,0.555845208,0.555845208,0.555845208,85592.346993,85588.568809,23.131454
1744722003,0.614900666,0.614900666,0.614900666,85600.981746,85598.619166,69.919778
1744725600,0.608220291,0.608220291,0.608220291,85791.087613,85788.526683,292.314818
1744729202,0.128293875,0.128293875,0.128293875,85449.014333,85435.003584,-579.819219
1744732805,0.396820291,0.396820291,0.396820291,85177.143457,85169.631716,289.313836
1744736401,0.482576458,0.482576458,0.482576458,85035.576958,85030.151678,40.144439
1744740001,0.423186666,0.423186666,0.423186666,84861.180180,84854.364424,-205.897438
1744743603,0.176188083,0.176188083,0.176188083,84534.485797,84521.807414,-262.325007
1744747206,0.061254208,0.061254208,0.061254208,84239.819346,84224.441484,-217.969579
1744750808,0.393160958,0.393160958,0.393160958,84085.840406,84078.459101,218.156420
