ts,fundingRate,fundingRateLong,fundingRateShort,oraclePriceTwap,markPriceTwap,periodRevenue
1744588800,-0.000004666,-0.000004666,-0.000004666,127.636936,127.611297,3607.847834
1744592400,0.000278541,0.000278541,0.000278541,129.353687,129.334502,5451.720172
1744596008,0.000570250,0.000570250,0.000570250,130.225859,130.213500,414.568496
1744599605,0.001009333,0.001009333,0.001009333,132.076915,132.074724,-2342.237161
1744603200,0.001327666,0.001327666,0.001327666,132.204523,132.209947,2794.748339
1744606808,0.001580125,0.001580125,0.001580125,132.862199,132.873550,-2931.908587
1744610408,0.001108208,0.001108208,0.001108208,133.069405,133.069389,1331.781728
1744614009,0.000579958,0.000579958,0.000579958,132.630380,132.617773,-1336.183061
1744617603,0.000583833,0.000583833,0.000583833,132.248211,132.235774,572.023584
1744621209,0.000439416,0.000439416,0.000439416,132.640415,132.624433,1163.218744
1744624801,-0.000167625,-0.000167625,-0.000167625,132.600148,132.569605,-2619.820781
1744628408,-0.000001375,-0.000001375,-0.000001375,133.037044,133.010404,4597.446142
1744632007,-0.000447000,-0.000447000,-0.000447000,133.122609,133.085257,-579.080393
1744635605,-0.000289083,-0.000289083,-0.000289083,133.350132,133.316524,933.026773
1744639202,-0.000127250,-0.000127250,-0.000127250,133.047354,133.017691,-611.118933
1744642803,-0.003600125,-0.003600125,-0.003600125,132.943587,132.830596,35165.744789
1744646400,-0.002751791,-0.002751791,-0.002751791,130.936340,130.844110,-61649.649230
1744650000,0.001102875,0.001102875,0.001102875,129.868825,129.869321,12121.275058
1744653600,0.004063166,0.004063166,0.004063166,129.837220,129.908769,-16733.267557
1744657205,0.003585458,0.003585458,0.003585458,130.013366,130.073415,-1911.238951
1744660802,0.002607583,0.002607583,0.002607583,130.737197,130.773632,-6814.887580
1744664409,0.001745791,0.001745791,0.001745791,130.370693,130.386518,3679.154426
1744668001,0.001280541,0.001280541,0.001280541,129.802896,129.807669,-364.635603
